id,food_name,disposal_rate,energy(KJ),energy(Kcal),moisture,protein_by_amino_acid_composition,protein,fatty_acid_tria_silglycerol_equivalent,cholesterol,lipid,available_carbohydrates(single_sugar),available_carbohydrates_(mass_meters),available_carbohydrates_by_the_dispatch_method,total_amount_of_dietary_fiber,sugar_alcohol,carbohydrate,organic_acid,ash,sodium,potassium,calcium,magnesium,rin,iron,zinc,copper,manganese
58,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,0,506,119,70,3.2,3.5,0.6,0,0.6,24.3,22.2,24.8,1,0,25.5,0,0.4,130,5,6,4,23,0.2,0.1,0.05,0.12
59,こむぎ　［中華めん類］　中華めん　生,0,1057,249,33,8.5,8.6,1,0,1.2,52.2,47.6,50.4,5.4,0.1,55.7,0,1.5,410,350,21,13,66,0.5,0.4,0.09,0.35
60,こむぎ　［中華めん類］　中華めん　ゆで,0,564,133,65,4.8,4.9,0.5,0,0.6,27.7,25.2,26.5,2.8,0,29.2,0,0.3,70,60,20,7,29,0.3,0.2,0.05,0.18
61,こむぎ　［中華めん類］　半生中華めん　,0,1293,305,23.7,9.8,9.9,3.5,0,4,59.5,54.2,55.4,6.2,0.2,61.2,0,1.3,470,430,21,15,72,0.7,0.4,0.1,0.4
62,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,0,686,162,57.4,4.7,4.9,1.5,0,1.7,33.6,30.6,32.6,3.1,0.2,35.6,0,0.5,110,80,10,9,40,0.4,0.2,0.06,0.23
63,こむぎ　［中華めん類］　蒸し中華めん  ソテー,0,893,211,50.4,5.1,5.2,4.3,1,4.9,39.4,35.9,35.8,3.6,0.2,38.9,0,0.6,130,87,10,10,43,0.4,0.2,0.06,0.25
64,こむぎ　［中華めん類］　干し中華めん　乾,0,1433,337,14.7,11.5,11.7,1.4,0,1.6,71.4,65,64.5,6,0.1,70.2,0,1.9,410,300,21,23,82,1.1,0.5,0.15,0.44
65,こむぎ　［中華めん類］　干し中華めん　ゆで,0,558,131,66.8,4.8,4.9,0.4,0,0.5,28,25.4,25.1,2.6,0,27.5,0,0.3,66,42,13,10,29,0.4,0.2,0.05,0.18
66,こむぎ　［中華めん類］　沖縄そば　生,0,1128,266,32.3,9.1,9.2,1.7,0,2,52.8,48.1,52.5,2.1,0,54.2,0,2.3,810,340,11,50,65,0.7,1.1,0.18,0.69
67,こむぎ　［中華めん類］　沖縄そば　ゆで,0,561,132,65.5,5.1,5.2,0.7,0,0.8,27.3,24.8,26.7,1.5,0,28,0,0.5,170,80,9,28,28,0.4,0.6,0.1,0.37
68,こむぎ　［中華めん類］　干し沖縄そば　乾,0,1349,317,13.7,11.9,12,1.5,0,1.7,67.3,61.3,66.1,2.1,0,67.8,0,4.8,1700,130,23,22,100,1.5,0.4,0.11,0.38
69,こむぎ　［中華めん類］　干し沖縄そば　ゆで,0,561,132,65,5.1,5.2,0.5,0,0.6,27.7,25.2,27.2,1.5,0,28.6,0,0.6,200,10,11,8,36,0.5,0.1,0.05,0.16
70,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,0,1785,424,2,9,10.1,16.3,7,16.7,63,57.3,62.5,2.5,0.1,63.5,0,7.7,2500,260,430,29,110,1,0.5,0.13,0.82
71,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,0,1847,439,3,0,10.1,18.6,3,19.1,60.4,54.9,59.5,2.4,0,61.4,0,6.4,2200,150,230,25,110,0.9,0.5,0.16,0.53
72,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,0,421,100,78.5,0,2.3,4.4,1,4.4,13.4,12.2,12.8,0.5,0.1,13.4,0,1.3,430,33,28,6,20,0.2,0.1,0.03,0.12
73,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,0,793,189,59.8,3.5,3.9,7.1,2,7.7,28.7,26.1,26.4,2.6,0,27.9,0,0.7,150,34,95,8,40,0.2,0.2,0.05,0.17
74,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,0,1902,453,3.7,8.2,8.9,18.6,4,19.6,65.2,59.3,61.7,5.5,0,65.5,0,2.3,580,150,220,20,97,0.6,0.4,0.09,0.42
75,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,0,1426,336,10,0,10.3,4.9,2,5.2,65.7,59.8,65.1,2.3,0,67.1,0,7.4,2700,260,110,25,110,0.8,0.4,0.11,0.66
76,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,0,392,93,76.2,0,3,0.8,1,0.8,17.4,15.8,18,0.6,0.1,18.7,0,1.2,430,68,6,6,26,0.2,0.1,0.03,0.17
77,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,0,588,139,63.9,3.3,3.4,0.6,1,0.8,29.2,26.6,28.7,2.7,0,31,0,0.9,230,64,94,8,46,0.2,0.2,0.04,0.17
78,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,0,1419,334,10.7,7.9,8.5,1.5,1,1.9,74.4,67.7,69.7,6.5,0,75.2,0,3.7,1200,310,230,21,130,0.6,0.4,0.08,0.5
79,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,0,1772,422,5.3,9.5,10.9,17.7,17,18.5,57,52.1,54.7,5.8,0.2,58.6,0,6.7,2300,190,190,25,110,0.7,0.5,0.09,0.41
80,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,0,386,92,79.8,2.1,2.5,4,4,4.2,3.8,3.5,11.2,1.3,0,13.2,0,1.5,520,43,43,6,24,0.2,0.1,0.02,0.09
81,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,0,735,175,62,3.3,3.8,7.2,1,7.7,24.9,22.7,24,2.2,0,25.2,0,1.3,440,37,76,7,34,0.3,0.2,0.04,0.14
82,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,0,1748,417,9.7,8.3,10,18.6,10,19.1,54.7,49.8,50.5,6.1,0.2,54.6,0,6.6,2500,180,200,26,110,0.8,0.5,0.07,0.4
83,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,0,374,90,80.8,2,2.3,4.4,2,4.5,6.6,6,9.8,1.4,0,12.9,0,1.6,590,43,46,6,27,0.2,0.1,0.02,0.09
84,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,0,596,142,69.1,2.6,3,5.6,1,5.8,18.3,16.7,19.4,1.9,0,20.7,0,1.4,450,33,74,6,28,0.2,0.1,0.04,0.13
85,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,0,1757,418,11.1,6.9,8.2,17.5,2,18.6,59.4,54.5,54.2,5.7,0,57.5,0,4.5,1500,180,180,27,89,1,0.4,0.12,0.56
86,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,0,929,222,53.6,4.2,5,10.6,3,11.3,14.7,13.5,25.8,3.3,0,34.2,0,2.5,910,100,94,14,54,0.4,0.3,0.06,0.3
87,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,0,1326,314,15.2,7.7,9.2,5.4,6,5.8,59.5,54.3,58,6.4,0,62.6,0,7.2,2800,250,48,26,100,1.2,0.4,0.1,0.66
88,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,0,277,66,83.5,2.1,2.5,2,2,2.1,13.3,12.2,9.2,1.5,0,10.2,0,1.7,560,77,44,7,34,0.2,0.1,0.02,0.12
89,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,0,514,121,68.8,2.9,3.4,1.1,1,1.3,25.7,23.4,23.5,2.5,0,25.3,0,1.2,380,53,76,7,42,0.3,0.1,0.03,0.17
90,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,0,1835,437,6.2,9.6,10.9,18.9,3,19.8,58.1,53,52.1,6,0.3,56.1,0,7,2600,150,170,26,160,1.3,0.5,0.11,0.54
91,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,0,382,91,80.5,1.9,2.2,4.4,1,4.7,7.3,6.7,10.3,1.4,0,11.2,0,1.5,550,34,41,6,38,0.2,0.1,0.02,0.1
92,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,0,683,163,64.4,2.4,2.7,7,2,7.2,23.3,21.2,22.6,2.4,0,24.4,0,1.2,420,26,78,6,48,0.2,0.1,0.02,0.13
93,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,0,1476,347,11.3,12,12.9,1.5,0,1.8,73.4,66.9,68.9,5.4,0,73.1,0,0.8,1,200,18,55,130,1.4,1.5,0.28,0.82
94,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,0,636,150,60,5.3,5.8,0.7,0,0.9,31.3,28.5,29.7,3,0,32.2,0,1.2,460,14,8,20,53,0.7,0.7,0.14,0.35
95,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,0,785,186,57,5.1,5.5,5.6,0,5.8,29.7,27,28.3,2.9,0,30.5,0,1.2,440,13,8,19,50,0.7,0.7,0.13,0.33
96,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,0,982,232,42,7.5,7.8,1.7,0,1.9,46.1,42.2,45.9,1.5,0,46.9,0,1.4,470,76,12,18,73,0.5,0.5,0.12,0.32
97,こむぎ　［ふ類］　生ふ,0,684,161,60,11.7,12.7,0.7,0,0.8,0,0,26.8,0.5,0,26.2,0,0.3,7,30,13,18,60,1.3,1.8,0.25,1.04
98,こむぎ　［ふ類］　焼きふ　釜焼きふ,0,1511,357,11.3,26.8,28.5,2.3,0,2.7,0,0,55.2,3.7,0,56.9,0,0.6,6,120,33,43,130,3.3,2.2,0.32,0
99,こむぎ　［ふ類］　焼きふ　板ふ,0,1488,351,12.5,23.6,25.6,2.9,0,3.3,0,0,55.9,3.8,0,57.3,0,1.3,190,220,31,90,220,4.9,2.9,0.49,1.54
100,こむぎ　［ふ類］　焼きふ　車ふ,0,1528,361,11.4,27.8,30.2,2.9,0,3.4,0,0,54.4,2.6,0,54.2,0,0.8,110,130,25,53,130,4.2,2.7,0.42,1.23
101,こむぎ　［ふ類］　油ふ,0,2279,547,7.1,0,22.7,0,1,35.3,0,0,34.4,0,0,34.4,0,0.4,22,71,19,28,95,1.7,1.4,0.21,0.94
102,こむぎ　［その他］　小麦はいが,0,1642,391,3.6,26.5,32,10.4,0,11.6,29.6,27.5,40.7,14.3,0,48.3,0,4.5,3,1100,42,310,1100,9.4,16,0.89,0
103,こむぎ　［その他］　小麦たんぱく　粉末状,0,1682,398,6.5,71.2,72,6.7,0,9.7,0,0,12,2.4,0,10.6,0,1.2,60,90,75,75,180,6.6,5,0.75,2.67
104,こむぎ　［その他］　小麦たんぱく　粒状,0,429,101,76,19.4,20,1.4,0,2,0,0,2.6,0.4,0,1.8,0,0.2,36,3,14,16,54,1.8,1.4,0.22,0.62
105,こむぎ　［その他］　小麦たんぱく　ペースト状,0,613,145,66,24.2,25,2.8,0,4.1,0,0,5.5,0.5,0,3.9,0,1,230,39,30,54,160,3,2.4,0.36,1.57
106,こむぎ　［その他］　かやきせんべい,0,1525,359,9.8,0,10.6,0,0,1.9,0,0,75.1,0,0,75.1,0,2.7,970,150,19,27,110,0.8,0.6,0.15,0.76
107,こむぎ　［その他］　ぎょうざの皮　生,0,1172,275,32,8.4,9.3,1.2,0,1.4,60.4,54.9,55.9,2.2,0,57,0,0.3,2,64,16,18,60,0.8,0.6,0.12,0.28
108,こむぎ　［その他］　しゅうまいの皮　生,0,1169,275,31.1,7.5,8.3,1.2,0,1.4,61.2,55.7,57.7,2.2,0,58.9,0,0.3,2,72,16,17,60,0.6,0.5,0.1,0.28
109,こむぎ　［その他］　春巻きの皮　生,0,1218,288,26.7,0,8.3,0,0,1.6,0,0,57.7,4.5,0,62.2,0,1.2,440,77,13,13,54,0.3,0.3,0.09,0.23
110,こむぎ　［その他］　春巻きの皮　揚げ,0,2135,512,7.3,0,7.2,0,1,30.7,0,0,49.5,4.2,0,53.7,0,1,370,66,11,11,48,0.3,0.3,0.09,0.2
111,こむぎ　［その他］　ピザ生地,0,1124,265,35.3,0,9.1,2.7,0,3,53.2,48.5,49.1,2.3,0,51.1,0,1.5,510,91,13,22,77,0.8,0.6,0.09,0.5
